TopName,MD,X,Y,TVDSS,VS@0AZ,GeosteeringDip
Greenhorn,4766,1387911.07,477599.71,-2530,0,-999.25
Belle_Fourche,4984,1387911.07,477599.71,-2748,0,-999.25
Mowry,5176,1387911.07,477599.71,-2940,0,-999.25
Inyan_Kara,5588,1387911.07,477599.71,-3352,0,-999.25
Swift,6043,1387911.07,477599.71,-3807,0,-999.25
Rierdon,6537,1387911.07,477599.71,-4301,0,-999.25
Amsden,7872,1387911.07,477599.71,-5636,0,-999.25
Tyler,8061,1387911.07,477599.71,-5825,0,-999.25
Kibbey_Lime,8643,1387911.07,477599.71,-6407,0,-999.25
Charles,8791,1387911.07,477599.71,-6555,0,-999.25
Top_Last_Salt,9492,1387911.07,477599.71,-7256,0,-999.25
Base_Last_Salt,9537,1387911.07,477599.71,-7301,0,-999.25
Frobisher-Alida_Interval,9756,1387911.07,477599.71,-7520,0,-999.25
Lodgepole,10335,1387911.07,477599.71,-8099,0,-999.25
Upper_Bakken,11097,-999.25,-999.25,-999.25,-999.25,-999.25
Middle_Bakken,11130,-999.25,-999.25,-999.25,-999.25,-999.25
Lower_Bakken,11180,-999.25,-999.25,-999.25,-999.25,-999.25
Three_Forks,11198,-999.25,-999.25,-999.25,-999.25,-999.25
Birdbear,11400,-999.25,-999.25,-999.25,-999.25,-999.25
